,총점,커리어 향상,업무와 삶의 균형,급여 및 복지,사내 문화,경영진,제목,직원유형,장점,단점
3950,5.0,5,5,3,3,2,“워라벨 보장 / 급여체계 최악”,현직원 · 우** · 연구개발(R&D) - 2021.07.14,"워라벨보장
재미있는 업무
커리어 개발
주재원 기회 등등","급여체계
운영방식의 답답함
시스템의 미개함
바보같은 경영진
현장직의횡포"
3951,5.0,5,5,5,5,5,“워라벨이 보장되는 회사”,현직원 · Y***** · 하드웨어 엔지니어 - 2021.07.11,출퇴근이 자유롭고 휴가도 눈치 없이 쓸 수 있다  ,인사고과제도가 부담이 된다        
3952,5.0,5,5,5,5,3,“워라밸이 보장되고 꼰대문화 소문과는 다른 회사”,현직원 · 나***** · IT 엔지니어 - 2021.07.11,IT 직군인데 워라밸이 진짜 제대로 보장됨 시간 내 근무하고 적당히 처리하면 자율출퇴근에 터치없음 사내 분위기도 좋은 편 부서가 오래안되어서 그런지 굉장히 밝고 전체적으로 젊은 편 커리어향상에도 도움이되고 내가 건의하는 것이나 내가 맡은 업무 처리에 대해서 동료들이 신뢰를 해줌,노조의 끊임없는 요구도 문제라고 보이고 또 경영진이 직원들에게 신뢰를 잃은 것은 회사의 큰 실수라 보임
3953,5.0,1,5,2,1,1,“워라밸 최강”,현직원 · 킹**** · 생산엔지니어·생산관리 - 2021.07.05,근무환경강력한 노동조합워라밸차량할인복지노동강도,낮은연봉무능한 경영진꼰대문화나이많은사람이 많고 젊은사람이 적음
3954,5.0,3,5,5,4,4,“대기업”,현직원 · H***** · 생산엔지니어·생산관리 - 2021.06.30,출퇴근시간이 ab조 나뉘어 있어서 시간활용하기가 좋음,나이차이가 많이 나서 기본 생각차이 및 갈등이 야기되는 부분
3955,5.0,5,5,5,5,5,“워라밸이 아주 많이 보장된 회사”,현직원 · j***** · 생산엔지니어·생산관리 - 2021.06.30,"퇴근 하고 내 생활이 있다는게 가장 큰 장점
근속 DC로 차량 구매시 할인혜택","물가상승대비 연봉은 해가 갈수록 낮아짐
기본급 인상에는 매우 인색한 경영진"
3956,5.0,4,4,5,5,5,“굿~~우리회사 오세요”,현직원 · G***** · 경영지원·관리 전문가 - 2021.06.30,"최선을다하는 경영마인드
항상 직원을 생각하는 회사 입니다","복지에조금더 신경써주시고
좀더 시대에 맞게 전산시스템도 업그레드 했음 좋겠어요"
3957,5.0,5,5,5,5,5,“조직문화가 나날이 발전해나가는”,현직원 · 현** · 고객상담 전문가 - 2021.06.28,"인재를 존중하는 회사
본인의 능력에 따라 성장할수 있는 회사","강성 노동조합이 언제나 리스크 요인
경직된 조직문화가 유연해 지고 있는 회사"
3958,5.0,5,5,5,3,3,“하기나름인회사”,현직원 · o********* · 연구개발(R&D) - 2021.06.24,"팀마다 다르지만 편한팀도 있음
셔틀버스 잘되있음
음",전체적인 차량개발 프로세스 개선필요 올드한 방식 주먹구구식 개발 미래 대응 가능할지 의문
3959,5.0,4,5,4,3,3,“돈을 내어주고 워라밸은 갖는다”,현직원 · z***** · 연구개발(R&D) - 2021.06.19,앞으로의 비전과 투자에 대한 부분은 밝아보이는게 장점인 회사이다,그러나 글로벌에서의 경쟁력이 어떨지와 현재 내부적으로 일어나는 급여 문제 노조 문제는 가장 큰 문제점이라고 생각된다
3960,5.0,5,5,5,5,5,“좋은 회사”,현직원 · c***** · 연구개발(R&D) - 2021.06.15,"월급 안밀림
눈치 안보고 연월차 사용가능
자율출퇴근제","출퇴근 셔틀타고 한시간 이상 걸림
눈치 안보고 목소리만 큰 현장직원들이 많음"
3961,5.0,3,5,5,3,3,“워라밸로는 단연코 최고”,현직원 · 연**** · 경영지원·관리 전문가 - 2021.06.15,휴가가 많은게 최고 월차 연차에 하계휴가 집중휴가 등등 다양한 제도가 있어서 진짜 많이 쉽니다,현무원되기 쉬움 자기계발이 쉽지 않아요 고인물되기 딱쉬운회사
3962,5.0,5,5,5,5,5,“가나다라마바사만큼 좋아요”,현직원 · M**** · 생산엔지니어·생산관리 - 2021.06.14,사내문화가 그나마 수평적이며 직원복지가 잘 되어있는 편입니다,"연봉인상률이 낮은 편이며 지역간 이동이 어렵습니다
그렇지만 대체적으로 만족하는 바입니다"
3963,5.0,4,5,3,4,4,“워라밸이 보장되는 회사”,현직원 · B***** · 생산엔지니어·생산관리 - 2021.06.12,출퇴근 시간 잘 지켜집니다 8시 출근 5시 퇴근 바쁘면 조금 늦게 퇴근,노조의 영향력이 너무 큽니다 충분히 더 좋은 분위기로 갈 수 있을거 같지만 걸림돌이 많습니다
3964,5.0,5,5,3,4,3,“나름 배우는 것 많고 배우려면 기회도 있다.”,현직원 · +***** · 연구개발(R&D) - 2021.06.08,"배울 기회 있고 워라맬 좋다
네임밸류가 있다 어른들이 좋아한다","성과급이 작다 회사 이미지가 안좋다
남양 촌구석이다"
3965,5.0,4,5,3,4,2,“워라벨 좋은 이름 좋은 회사”,현직원 · e***** · 연구개발(R&D) - 2021.06.06,"워라벨이 보장됨
대기업 다니는줄 암
부바부로 커리어 쌓기 나쁘진 않음걍 노는 부서가 태반이긴 하지만
복지는 괜찮은 편","거주지에 따라 출퇴근 시간 김
급여 낮음 급여 낮음
연구소 위치"
3966,5.0,5,4,4,4,4,“전체적으로 연령층이 높고 보수적”,현직원 · o********* · 생산엔지니어·생산관리 - 2021.06.05,팀 분위기 좋고 본인이 열심히 노력한다면 인정 받을 수 있음,직원수가 많다보니깐 복지 나눠먹는 양이 적음 주변 인프라가 부족하지는 않지만 좋지도 않음
3967,5.0,5,5,5,5,5,“발전하는 회사”,현직원 · r*** · 연구개발(R&D) - 2021.06.02,"미래 성장가능성이 높습니다
워라벨이 좋은 편에 속합니다
휴일이 많습니다","복지 혜택이 부족합니다
업무 환경이 세련되지는 않습니다"
3968,5.0,5,5,1,1,1,“워라밸은 깃깔난다잇”,현직원 · p****** · 연구개발(R&D) - 2021.05.30,"출퇴근 시간 겐세이는 없음
기숙사 잘되어 있음
휴가 눈치없이 써도됨","급여가 장난하누
지역이 에바였음 오지말앗어야함
팀내 서로 친하지가 않고 헐뜯음"
3969,5.0,2,4,3,3,3,“워라밸적당함.”,현직원 · 횬*** · 생산엔지니어·생산관리 - 2021.05.30,편함 오래일하다보면 적당히알게되며 일하기 편해짐 너무몰라도가사 배우면되고 해보면됨,꼰대문화 쪼금 대화안되는 공무원들이좀있음 가끔 눈치좀보임
3970,5.0,4,5,4,3,4,“미래가 보장 되어야 될 회사”,현직원 · a***** · 생산엔지니어·생산관리 - 2021.05.26,일하기 좋은회사 월급 잘 나오는 회사 상여금 잘 나오는 회사 세계제일의 자동차를 만드는 회사 미래 모빌리티를 선도하는 회사,일부 먹고 노는 사람 너무 많은것 일부 관리자들의 자리보전적 업무 일부 무능하고 고집불통 인 관리자
3971,5.0,5,5,4,5,4,“워라밸이 보장되는 회사”,현직원 · t***** · 경영전략·사업기획·분석전문가 - 2021.05.26,"앞으로가 기대되는 회사
배울 것이 많은 환경
야근 없음","성과급 언제쯤 다시 풀릴지
생산직 사무직 고질적 해결과제"
3972,5.0,5,5,5,5,5,“가족 같은 회사”,현직원 · p***** · 생산엔지니어·생산관리 - 2021.05.25,사원 복지서비스 근무환경 급여 부분은 만족스러운 편이다,회사 상황마다 근무강도가 외부적인 요인에 의해 높아지는 경우가 있으나 어느 회사나 있을 수 있다 딱히 없다
3973,5.0,5,5,5,5,5,“나쁘지 않음”,현직원 · 빼* · 경영전략·사업기획·분석전문가 - 2021.05.25,"아침밥 점심밥이 맛있고
점심 배달도 해줌
커피도 굳","보고서 작성이 너무 많아서 귀찮음
가로 세로 형태 등등"
3974,5.0,4,5,3,3,4,“워라밸 진짜 좋다 ”,현직원 · W***** · 연구개발(R&D) - 2021.05.21,최근 들어 기업문화 더 좋게좋게 바뀌는 추세 가장큰 단점은 역시 연봉이 아닐까하는데 근무시간 대비 비용을 생각하면 그냥 만족해야되기도하고 암튼 워라밸 짱짱,아직 까지잔존하는 몇몇의 꼰대문화와 연봉수준은 갈수록 안좋아지는거
3975,5.0,4,5,4,4,4,“워라밸은 좋다.”,현직원 · z******** · 품질관리·보증 전문가 - 2021.05.15,사원 대리 기준 30일 정도 되는 휴일 높지 않은 업무 강도 낮지 않은 연봉 부바부겠지만 우리 부서는 일찍 퇴근시켜주는 편 회사의 미래는 밝은듯 복지는 남들 주는 만큼은 챙겨준다 차량 할인은 좀 꿀,평균 연령대가 굉장히 높다 이건 장점일 수도 단점일 수도 있음 낮지 않지만 높지도 않은 연봉 경영진이 돈을 안챙겨준다 부바부겠지만 우리 부서는 커리어 쌓기에는 별로인거 같음 회사의 미래는 밝지만 직원들의 미래는 모르겠다
3976,5.0,5,5,5,5,5,“도전과 안정의 밸런스 ”,현직원 · l******** · 연구개발(R&D) - 2021.04.18,"끊임없이 개척해나가려는 정신을 곳곳에서 엿볼 수 있음
하지만 그런 정신과 보수적인 산업 특성을 동시에 짊어지기 위한 균형을 찾으려는 노력이 많은 회사",도전적인 것에 비해 실제로는 도전이 다양한 이유로 어려움
3977,5.0,4,5,4,4,4,“길게 보는 회사”,현직원 · 동**** · 연구개발(R&D) - 2021.04.15,"워라밸이 조음
일을 잘 배울수 있는 환경
기숙사복지 월2만원
차량할인","남양에 위치
나이드신 분들이 많다
월급이 생각보다 더 적음"
3978,5.0,5,5,3,4,4,“워라벨굿”,현직원 · w***** · 생산엔지니어·생산관리 - 2021.04.06,워라벨이 보장대있고 정신적스트레스가 적다 몸이 안힘들다,연봉이 갈수록 줄어든다 젊은 사람이 적다 신입을 안뽑는다
3979,5.0,5,4,3,5,2,"“커리어 향상 굿, 워라밸 나쁘지 않음”",현직원 · 1********* · 연구개발(R&D) - 2021.04.04,커리어 향상에 대한 의지가 있다면 아주 많은 기회가 있습니다 남양은 통근버스 시간이 있어서 강제 워라밸 가능합니다 완성차 업계 특성상 최상위 포지션에서 업무를 할 수 있다는 엄청난 장점이 있음,성과급에 대한 논란 노조에 대한 논란 밥이 개밥임 연봉이 점점 줄어드는 어이없는 회사
3980,5.0,5,5,5,5,5,“워라벨 굿”,현직원 · k******* · IT 엔지니어 - 2021.04.02,워라벨이 좋은게 느껴집니다 사람들도 좋고 부서마다 다르겠지만요,떡히 없음 근데 출퇴근이 좀 헬이긴한고 같습니다 
3981,5.0,3,3,3,3,1,“워라밸...? 그냥 저냥 다니기 좋음”,현직원 · '********* · 연구개발(R&D) - 2021.04.01,"적당히 벌고 적당히 다니려면 좋은회사
차 많이봐서 좋음",돈좀 많이주세요 차는 잘팔리는데 보상이 없어요 아 짜증
3982,5.0,5,5,5,4,5,“워라벨이 보장되는 회사(휴가가 많음)”,현직원 · n***** · 생산엔지니어·생산관리 - 2021.03.30,급여가 만족스러웠고 휴가와 쉬는 날이 많아서 좋았습니다,HW 위주의 기업이다보니 SW 부분이 많이 약한거같습니다
3983,5.0,5,5,5,5,5,“그래도 최고의 회사”,현직원 · 천****** · 생산엔지니어·생산관리 - 2021.03.27,"1 워라벨
2 사원 대리연월차많음
3 복지
4 많이 낮아졌다곤 하지만 여전한 네임벨류",1 회사 위치로 인한 출퇴근 시간 많이 소요됨 자율출퇴근제 시간대에 맞게 셔틀 운행 시간을 좀더 확대 개선되었으면 좋겠음
3984,5.0,4,2,5,3,3,"“복지,워라벨이 보장되는 회사”",현직원 · 양***** · 생산엔지니어·생산관리 - 2021.03.26,"복지 굳 휴가 많음 워라벨 보장
노조덕분에 안짤림 일반직 제외","기술직 기준으로 주말특근 안하면 급여가 적음
울산기준 기숙사가 너무 오래됨
현장에 나이든 사람이 많음"
3985,5.0,5,5,5,5,5,“이만한 직장 찾기 어렵습니다”,현직원 · g***** · 경영지원·관리 전문가 - 2021.03.26,보수가 괜찮다 현대자동차라는 네임밸류가 가장 큰 장점입니다,아직은 단점을 잘 모르겠습니다 더 지켜보아야 알 것 같습니다
3986,5.0,5,5,5,5,5,“워라벨이 보장되는 회사”,현직원 · B***** · IT 엔지니어 - 2021.03.25,"워라벨이 보장되서 좋습니다
눈치보면서 다니기엔 좋습니다",노조가 힘이 있어서 일반 직원에게까지 복지가 잘 오지는 않습니다
3987,5.0,5,5,5,5,5,“워라벨이 좋은 회사”,현직원 · C***** · 연구개발(R&D) - 2021.03.25,"휴가 많고 업무강도가 강하지 않다
훌륭한 선배님들이 많다","이기적인 노조로 인한 사기저하
상대적으로 낮아져 버린 임금"
3988,5.0,1,1,1,1,1,“조직문화 연봉이 아쉬움”,현직원 · q***** · 구매·물류·SCM 전문가 - 2021.03.21,"자동차 좋아하는데 유일한 자동차업계 대기업
동료들이 똑똑함
기계공학과 나와서 서울근무","교육이나 매뉴얼이 없는 구시대 시스템
OB와 YB의 세대차이가 느껴짐
역행하는 연봉"
3989,5.0,1,2,3,3,1,“정년은 보장가능”,현직원 · a******* · 생산엔지니어·생산관리 - 2021.03.21,"공무원 생활가능 하다 학자금 자동차사면할인
수당들좋음","여자가없다 사내연애 힘듬
생활복지꽝 울산공장아니면
무인도같은곳"
3990,5.0,5,5,5,5,5,“워라벨최고”,현직원 · 아******* · 연구개발(R&D) - 2021.03.18,"워라벨이 좋고 네임밸류가 좋다
근무지가 서울에 가깝다","성과금바닥으로 인해 낮은연봉
식당밥이 현대구린푸드"
3991,5.0,5,5,5,5,5,“극상의 워라벨에 사내분위기도 좋음”,현직원 · v***** · 연구개발(R&D) - 2021.03.17,"1 임직원들 라이프스타일을 최대한 존중하려고 노력함
2 눈치 덜보는 사내분위기 매정하지는않음
3 급여가 많이 줄었지만 최악은 아닌거 알거임
4 회식 많지 않음","1 멀다 통근버스 탈때마다 속이 울렁거림 남양사람들 부럽
2 밥"
3992,5.0,2,5,3,5,2,“극강의 워라밸”,현직원 · b***** · 연구개발(R&D) - 2021.03.17,"5시가되면 노래가 나오고 대부분이 칼퇴한다
금요일 3시 수요일 4시퇴근 가능 주말출근및야근 없음
요즘 꼰대같은사람도 별로없음
네임밸류
시설좋고 싼 기숙사
정년보장
기숙사 앞은 생각보다 있을게다있고 좋다
모비스제외 대부분계열사 및 협력사에 갑질가능","커리어를 쌓기힘들지만 정년이보장되서 생각하기나름
회사나 기숙사에서 타지로 약속 갈때 배차때문에 개빡침
그래서 할인받고 대부분 차를빨리삼
성과금이 올라가질않는다"
3993,5.0,4,5,3,5,3,“미친듯한 워라밸 ”,현직원 · !******** · 연구개발(R&D) - 2021.03.17,"수4퇴 금3퇴 가능
센터마다 다르지만 우리센터 재택 50 잘지킴
눈치 없이 휴가 쓰고 휴가가 개많은데 여성분들은 더많음
대기업 네임밸류
차할인","성과급이 적음
성과급이 노력만큼 안나와서 직장 동료들 현타가 심함"
3994,5.0,3,5,4,4,4,“워라벨 하나는 죽여주는 회사”,현직원 · R***** · 연구개발(R&D) - 2021.03.17,일단 연차부터가 말이안됨 퇴근시간도 보장 하지만 연봉은  다들 아시죠,연봉이 좀 낮은편 사실 예전 명성을 못따라가는거긴한데 그래도 아쉽
3995,5.0,5,5,5,5,5,“좋은데”,현직원 · k******* · 생산엔지니어·생산관리 - 2021.03.17,"전문기술인력 하고있는데
신입이라 그런지 좋네요
좋아여",아직 신입이라 잘 모르는데 왜 욕하는 지 잘 모르겠어여
3996,5.0,5,5,5,5,5,"“부모님들 자랑거리,워라벨 끝판왕”",현직원 · x****** · 연구개발(R&D) - 2021.03.17,"기계공들의 꿈
워라벨은 진짜 업계최고라 자부함 물론 부바부","블라인드 사내토픽에 욕이많음
기숙사 아니면 통근이 조금 지칠수도있음"
3997,5.0,4,3,4,4,4,“사람들이 다 아는 회사”,현직원 · 선*** · 하드웨어 엔지니어 - 2021.03.16,복지가 좋은편 급여도 적당히 줌 적지도 많지더 않은 대기업 연봉수준,수직적 문화가 있긴함 기숙사가 안좋음 전기차 맟 자동화로 점점 인원 줄어들고 있음
3998,5.0,5,5,5,5,5,“미래 발전이 기대되는 회사”,현직원 · 열** · 생산엔지니어·생산관리 - 2021.03.16,"1 만족할만한 급여
2 많은 휴일 휴가
3 차량 할인 등 복지제도","1 근무순환이 잘안됨
2 밥 개맛없음
3 기숙사 다쓰러져감"
3999,5.0,5,4,3,4,3,“워라벨이 보장되는 회사”,현직원 · j***** · 연구개발(R&D) - 2021.03.15,글로벌 완성차 기업으로 커리어 향상이 가능하며 여러 복지혜택을 누릴 수 있음,연구소 위치가 너무 멀고 밥이 좀 아쉽다 그리고 성과급이 많이 줄었들엇지만 앞으로 전기차 시장을 자리잡을 수 있다는 기대가 되는 회사
4000,5.0,5,5,5,5,5,“돈 많이주는 공기업?”,현직원 · l******** · 연구개발(R&D) - 2021.03.15,편하게 다닐 수 있고 안정적인 철밥통이자 공무원보다 훨씬 높은 연봉,연봉이 사기업중엔 떨어지는데 현대 들어온 이상 다른 곳과의 비교는 주접이라 생각함
4001,5.0,3,5,3,5,3,“부바부겠지만 워라벨”,현직원 · k***** · 연구개발(R&D) - 2021.03.15,여직원이 일하기 좋은회사인 것 같아요 휴가가 많고 부바부겠지만 워라벨 좋습니다,팀별로 다르겠지만 커리어 향상 가능성은 잘모르겠습니다
4002,5.0,4,5,4,5,4,“신입관점 나쁘지않은 회사 ”,현직원 · g******* · 연구개발(R&D) - 2021.03.14,"자동차를 좋아하는 사람에겐 재밌는 회사
워라벨 보장
생각보다 젊고 프리한 분위기","어쩔수없는 부분일수있으나 너무 세분화된 팀으로 인해 정체적인 시스템을 알고 일을 하는게 아니라
부분적으로만 이해하고 일을 진행하는 느낌이라 아쉬움"
4003,5.0,5,5,3,5,4,“워라밸 확실히보장”,현직원 · f***** · 연구개발(R&D) - 2021.03.14,"적정한연봉에 적당한 업무강도
누구나 진급가능
누구나 진급거부가능",시스템화와 보안업무강화로 전산이 너무느려서 일하다가 밥먹고와도 로딩이안됨
4004,5.0,3,5,5,4,4,“신입이지만 분위기 좋음”,현직원 · e***** · 연구개발(R&D) - 2021.03.14,"세계적인 자동차 메이커에서 일한다는 자부심
워라밸 좋고 보고 배울게 많을듯","자동차 회사 특성상 남초적이고 군대문화가 남아있음
커리어 키우는건 모르겠음"
4005,5.0,4,5,2,4,4,“남양 문화 많이 좋아짐”,현직원 · K***** · 연구개발(R&D) - 2021.03.13," 아침에 시간 모아서 수금4시 퇴근 가능
 회사가 새로운걸 많이 시도함
 피피티 잘만들게됨
 외국인 임원들이 문화를 좀 바꿔놓음",팀바팀이 심해서 워라밸 문화 등등 다 심각한 팀도 아직 있음
4006,5.0,3,5,4,4,3,“워라밸”,현직원 · i********* · 연구개발(R&D) - 2021.03.13,자유로운분위기와 각자의 스타일을 보장해준다 ,근무지가 너무 시골이라 출퇴근이 매우 불편하다
4007,5.0,5,5,4,5,4,“워라벨 워라벨 워라벨”,전직원 · a******* · 연구개발(R&D) - 2021.03.12,"워라벨 짛일찍감 나를 부지런하게만들어줌
우리팀분들은 유하고 체계적임",돈이작고 직원들 특이 신입들에 대한 처우가 예전에 비해 아쉽다
4008,5.0,5,5,5,5,5,“한국이 글로벌 본사”,현직원 · X***** · 연구개발(R&D) - 2021.03.11,본사이기에 큰규모의 업무가 가능함 신기술 미래기술에 대한 방향성이 있음,효율성을 추구하는 회사는 아닌것 같음 강성노조 문제포함
4009,5.0,5,5,4,4,4,“삶은 보장되는 회사”,현직원 · f***** · 연구개발(R&D) - 2021.03.10,극강 워라벨 그냥 시간되면 집에가라고 오히려 권장하는거에 충격,근무지가 시골인 단점 출퇴근 1차로의 압박은 정말 숨막힌다
4010,5.0,5,5,3,5,4,“앞으로가 더 기대되는 회사”,현직원 · O***** · IT 엔지니어 - 2021.03.10,근무 조건이 가장 좋다 칼 퇴근 복지가 좋습니다 나이스,"동료 잘 못 만나면 아 상상하기 싫다

대인 관계가 엄청 중요한 듯"
4011,5.0,5,5,5,5,5,“워라벨 굳”,현직원 · d******* · IT 엔지니어 - 2021.03.09,워라벨 좋고 기업 문화도 맘에 듬 물론 부바부 팀바팀 이겠지만,복지가 생각보단크게 뭐가 많진 않음 가이드가 잘 안되어있고
4012,5.0,4,4,5,5,5,"“This, Too, shall pass away.”",현직원 · b********* · 연구개발(R&D) - 2021.03.04,자기역량을 충분히 준비하고 계획하고 발휘할 수 있는 곳,때로는 의지가 약해지고 후배들의 모습에 위축되는 힘겨움
4013,5.0,5,5,4,5,5,“성과급만 충족되면 만족하면서 다닐 수 있는 회사”,현직원 · g****** · 경영지원·관리 전문가 - 2021.03.01,킹차갓무직 네임밸류  워라밸  쉬는 날 많음  사업 포트폴리오 확장,성과급 사실 단점이라고는 딱히 잘 모르겠으나 점점 줄어드는 성과급만큼은 개선이 필요하다
4014,5.0,4,5,4,3,3,“그럼에도 나는 만족”,현직원 · i******** · 연구개발(R&D) - 2021.03.01,좋아지는 워라밸 아무것도 하지 않는것보단 괜찮아보이는 미래준비,알 수 없는 경영층 속내 한전부지 사고 떨어진 기업평가가 6년만에 회복되고 있음
4015,5.0,4,5,5,4,5,“일하기 괜춘”,현직원 · 오****** · 연구개발(R&D) - 2021.02.25,공부하려면 공부할 수 있고 부바부이지만 팀원들 분위기 좋음,커리어 쌓는데 이 회사가 괜찮은지는 잘모르겠음 끝회사로 좋은느낌
4016,5.0,5,5,5,5,5,“말이 필요없다 무조건 다좋다”,현직원 · z***** · 건설 엔지니어 - 2021.02.25,식사메뉴가 2가지 나오기 때문에 골라먹는 재미가 쏠쏠함,노조가 있어서 고르게 노동을 배분 해주기 때문에 워라밸 좋다
4017,5.0,5,5,5,5,5,“뚜렷하게 발전하는 회사”,현직원 · 김** · 연구개발(R&D) - 2021.02.23,"미래진보적으로 사업을 꾸리는 중
전세계적인 자동차회사로 성장 중","밥이 맛없어요
갠적으로 밥먹는 맛에 살아가는데
정말 아쉽슴돠"
4018,5.0,3,5,5,5,3,“좋음”,현직원 · l**** · 생산엔지니어·생산관리 - 2021.02.22,"딱 정해진 근무시간
워라벨가능
복지좋음
밥 두가지 코스로 다양하게 운영 맛있음",공장내에컴베이어 위에서 생산직 업무 난이도의 차이가 자리마다 극과 극의 차이
4019,5.0,5,5,5,5,5,“좋습니다”,현직원 · J******** · 생산엔지니어·생산관리 - 2021.02.21,"연봉 높습니다
워라밸 좋습니다
사람 좋습니다
복지 좋습니다","공장이 넓어 출퇴근시간이 오래걸립니다
출장이 좀 많습니다"
4020,5.0,5,5,4,5,5,“워라벨보장 확실”,현직원 · q******** · 생산엔지니어·생산관리 - 2021.02.20,"워라벨이 있음
눈치 안봄
휴무 많음
유연근무 눈치안보고 사용가능함",회사 생활에서 학력위주의 유리천장 존재하며 그들만의 리그가 있음
4021,5.0,5,5,5,5,5,“워라밸 보장”,현직원 · 이********* · 연구개발(R&D) - 2021.02.16,대학교 혹은 대학원에서 전공한 전공 지식을 살릴 수 있으며 근무 시간과 저녁있는 삶이 보장된다 경직된 분위기도 예전과 비하여 많이 유연해짐,근무지역이 화성으로 출퇴근 버스는 제공되나 출퇴근 시간이 오래 걸린다
4022,5.0,4,5,5,5,5,“말이 필요없는 회사”,현직원 · S***** · 생산엔지니어·생산관리 - 2021.02.16,급여 복지 출퇴근 시간 환상적입니다 여기보다 좋은곳 못봄,단점은 솔직히 없어요 대한민국 최고 회사입니다 친 노동자덕
4023,5.0,1,4,4,2,2,“회사는 유망하나 개인의 비전은?”,현직원 · h**** · 경영지원·관리 전문가 - 2021.02.15,"단단한 복지혜택이 장점입니다
또한 정년보장도 장점입니다","업무능력 향상이 쉽지않다는 것이 단점입니다
교육지원이 미진해요"
4024,5.0,5,5,5,5,5,“나에겐 최고”,현직원 · g** · 구매·물류·SCM 전문가 - 2021.02.14,"복지 연봉 굿
저점2020기준에 들어와서 그런지 모르겠지만 일 적게하는 대신 돈 많이 받는다 생각함
물론 부바부 심한거 느껴지긴 한데 적어도 내 부서는 아님 ","모두가 아는 강성 노조
모든 현장직 사람들이 강성은 아니지만
소수 현장노조는 그세사
걍 말이 안통함
다른나라 사람인줄 "
4025,5.0,5,5,5,5,5,“워라밸 보장”,현직원 · U********* · 해외영업·사업개발·마케팅 - 2021.02.10,"마음 먹기에 따라 성장 가능함
워라밸 보장되고 일안해도 안짤리는 철밥통","일 안하는 부장꼰대들이 많음
분위기 자체가 달라졌지만 아직 진행중"
4026,5.0,3,5,5,4,3,“워라벨 끝판왕”,현직원 · H***** · 생산엔지니어·생산관리 - 2021.02.03,"주간 2교대라는 굉장히 많은 개인시간 보장
낮은 근무강도","출퇴근 시 불편한 교통편
타 대기업에 비해 낮은 연봉"
4027,5.0,5,5,5,5,5,“오늘보다 내일이 더 기대되는 회사”,현직원 · T***** · 생산엔지니어·생산관리 - 2021.01.31,미래를 위한 신속하고 과감한 투자가 앞으로 더욱더 기대된다,시대흐름에 뒤떨어진 노조가 항상 발목을 잡는다고 생각함
4028,5.0,5,3,5,3,3,“업계탑. 다니는 재미는 있는 회사”,현직원 · i**** · 생산엔지니어·생산관리 - 2021.01.29,연봉이 가장 장점입니다 여전히 가고싶어하는 곳임에는 분명,지방 근무가 큰 단점입니다 기숙사가 있긴한데 서울로 가고싶네요
4029,5.0,4,5,3,4,5,“워라밸 보장”,현직원 · 갓** · 연구개발(R&D) - 2021.01.29,"좋았던점
워라밸이 보장된다
최근 재택근무 활성화로 상당히 만족","식단의 개선 필요
성과급이 지나치게 줄어들어 직원들의 만족도 떨어짐"
4030,5.0,5,5,4,5,4,“안정이 보장되는 회사”,현직원 · x***** · 연구개발(R&D) - 2021.01.29,"워라벨이 대체적으로 좋은 회사입니다
안정이 보장됩니다 정년이 보장되는 회사","봉급이 점점 주는게 눈에 보여집니다
아직은 보여지는 수직적인 문화"
4031,5.0,4,5,4,5,4,“만족하는 회사”,현직원 · R***** · 연구개발(R&D) - 2021.01.29,"다들 열정이 많은 사람들이 모여있음
분위기는 케바케지만 내쪽은 좋음","열정을 받아줄 수 있는 직무가 있는지 모르겠음
아직 옛날 습성을 버리지못한 느낌도 있음"
4032,5.0,3,3,4,3,3,“미래가 기대되는 회사”,현직원 · T********* · 영업 전문가 - 2021.01.28,회사 임직원들 자체가 열정이 있으며 회사에 신뢰를 가지고 있는 임직원이 많다,고전방식을 고수하는 점이 단점인듯 하지만 개선되고 있다
4033,5.0,3,1,4,3,1,“능력이 있어야한다”,현직원 · H***** · 회계·세무·재무 전문가 - 2021.01.25,능력있는경우 자기개발에 효과적 없으면 이끌어 주는 선배들이 있다,술잘먹고 노무활동해야되고 욕도 잘먹어야되고 하루가 정신없다
4034,5.0,5,5,5,5,5,“대기업은 대기업이다”,현직원 · 소********* · 생산엔지니어·생산관리 - 2021.01.24,밥 대존맛 적절한 업무강도중견 중소에 비하면 천국,사람들이 너무 많음쓸모없는사람 다수 포진 조직이 너무 비대함
4035,5.0,5,5,5,3,3,"“워라벨이 보장되는 회사, 아직 남아있는 군대식 문화”",현직원 · x***** · 생산엔지니어·생산관리 - 2021.01.22,"워라벨이 보장된다
업무에 비해 높은 급여
낮은 업무강도
자유로운 분위기
밥이 맛있다","약간 남아있는 군대식 문화가 있으며
현장이 약간 위험하므로 안전사고에 항상 유의해야 됨"
4036,5.0,5,5,5,4,5,“경력이 보기에 적당히 좋은회사”,현직원 · i***** · 해외영업·사업개발·마케팅 - 2021.01.21,"적당한 워라밸
상대적으로 높지 않은 업무 수준
책임급부터는 연봉 좋음","출근 버스 시간이 너무 빠름
간혹 올드 스타일의 상사들이 있음
복지 부분은 그렇게 좋은편 아님"
4037,5.0,3,5,5,5,5,“복지는 최고”,현직원 · 코** · 고객서비스 전문가 - 2021.01.20,"복지가 좋다 근무지마다 다르겠지만
제가 근무하는 곳은 칼퇴","오래다니신 분들이 많으신편이라
수평적인 구조는 아닌듯함"
